address,withdrawal_block,first_shield_block
0x4ab05e5597111d83189c2d288b1b8cb0a3127f91,17139921,23792058
0xdbf01a7705451170e1191d354ee9eb84245f4861,14427788,23805055
0x534d7b39137d456f3f5c061fbcb6663212a9c2ad,23810531,23810542
0xf404ffe4c493e1aed38c2b387defb2635675d625,23682809,23813453
0x990468520bb32ab6d01254d3236007823f5e2fd9,23814263,23814305
0x98a0b946f163cd0385f1c8e871c3f24bc3e0cd07,23821198,23821456
0x77c271778215e7d8260152c06a791e58fa56eb8a,23840751,23840791
0xf66c448cb104bb45102b84d885c299b779b092d2,9232958,23897300
0x4f62267d90fa25748211c5caf4aec59799d00de8,23905204,23905223
0x5500c92e5c722c666055f82f854b75db0b76793b,23905583,23905625
0x35c48803a0ce972db14c21db7310379a14e225e9,9535761,23933812
0x922d8a436b328674143919e78af1ead4d9e0a832,23942436,23942452
0x51a25946de309fd7d215424bf5f1f212970f1b52,23951105,23959125
0xe9212a9cfb74919184d59075195c875e670d120f,23998423,24005790
0xd97ba4e4bee5baf19acdbeb8ee7547d8bd929332,24021704,24021773
0x4db31a20f441f6afa5af17b581a36ea721cebb7d,14775026,24033192
0x88db2b658aa71286e50e9321377c741869b44b4c,24040681,24040689
0x03f7efb2b4644e9a0a873a1719cbf1108d1522fa,24045276,24045313
0x5f40a9bad530079c6166ee7d2572fd4a443de5da,24046718,24046890
0x3caf2fdf712ea74bd6ce2147233c5b7daff3b957,23990986,24047237
0x8e8d1116ba69b5dfc2b34cfc3d487d123709ac88,24075160,24075236
0x98a23083747e2c5e22bfb3205bbf6df0c0557aed,24075315,24075349
0x71015963b8eb47ac4a41b37bf02e3b7a4f2625e8,24090061,24090078
0xae28484d83a055dca67dc7b178c06d42bfbef5a6,24090818,24090990
0x2028de1038ad91b85d44707d94da1df1c7974ac9,24064022,24114512
0x156faf818252e7e8faa0b9dbd05da0ae049641dd,24129961,24129993
0x64179b92895b1817cdb5e137860b24ad5ac327de,24166851,24166960
0xc15a2a355cea5c79dbb55bd2e4324c7c1cef1fd5,23938353,24167785
0xb0c91e4d8eb5e35b706dc03ca6bc4f19ac3338c8,10308134,24190958
